Fournisseur,Nom offre,Puissance,Abonnement,kWh Base,kWh Heures creuses,kWh Heures pleines
EDF,Tarif Bleu - réglementé (particuliers),3,"140,74","0,1952",indisponible,indisponible
EDF,Tarif Bleu - réglementé (particuliers),6,"374,47","0,1952","0,2081","0,1635"
EDF,Tarif Bleu - réglementé (particuliers),9,"237,77","0,1952","0,2081","0,1635"
EDF,Tarif Bleu - réglementé (particuliers),12,"285,06","0,1952","0,2081","0,1635"
EDF,Tarif Bleu - réglementé (particuliers),15,"329,92","0,1952","0,2081","0,1635"
EDF,Tarif Bleu - réglementé (particuliers),18,"376,06","0,1952","0,2081","0,1635"
EDF,Tarif Bleu - réglementé (particuliers),24,"473,66","0,1952","0,2081","0,1635"
EDF,Tarif Bleu - réglementé (particuliers),30,"564,22","0,1952","0,2081","0,1635"
EDF,Tarif Bleu - réglementé (particuliers),36,"655,36","0,1952","0,2081","0,1635"
EDF,TEMPO,6,"186,01","0,1952","0,1494","0,1232"
EDF,TEMPO,9,"233,88","0,1952","0,1494","0,1232"
EDF,TEMPO,12,"280,6","0,1952","0,1494","0,1232"
EDF,TEMPO,15,"324,16","0,1952","0,1494","0,1232"
EDF,TEMPO,18,"369,43","0,1952","0,1494","0,1232"
EDF,TEMPO,24,"539,76","0,1952","0,1494","0,1232"
EDF,TEMPO,30,"555,72","0,1952","0,1494","0,1232"
EDF,TEMPO,36,"653,2","0,1952","0,1494","0,1232"
EDF,Vert Électrique,3,"140,74","0,1871",indisponible,indisponible
EDF,Vert Électrique,6,"374,47","0,1871","0,2011","0,1566"
EDF,Vert Électrique,9,"470,5","0,1871","0,2011","0,1566"
EDF,Vert Électrique,12,"564,94","0,1871","0,2011","0,1566"
EDF,Vert Électrique,15,"654,65","0,1871","0,2011","0,1566"
EDF,Vert Électrique,18,"745,2","0,1871","0,2011","0,1566"
EDF,Vert Électrique,24,"939,12","0,1871","0,2011","0,1566"
EDF,Vert Électrique,30,"1121,52","0,1871","0,2011","0,1566"
EDF,Vert Électrique,36,"1306,83","0,1871","0,2011","0,1566"
EDF,Vert Électrique Auto,6,"188,89",indisponible,"0,2219","0,129"
EDF,Vert Électrique Auto,9,"237,77",indisponible,"0,2219","0,129"
EDF,Vert Électrique Auto,12,"285,06",indisponible,"0,2219","0,129"
EDF,Vert Électrique Auto,15,"329,92",indisponible,"0,2219","0,129"
EDF,Vert Électrique Auto,18,"376,06",indisponible,"0,2219","0,129"
EDF,Vert Électrique Auto,24,"473,66",indisponible,"0,2219","0,129"
EDF,Vert Électrique Auto,30,"564,22",indisponible,"0,2219","0,129"
EDF,Vert Électrique Auto,36,"655,36",indisponible,"0,2219","0,129"
EDF,Vert Électrique Régional,6,"374,47","0,1896","0,2095","0,1505"
EDF,Vert Électrique Régional,9,"470,5","0,1896","0,2095","0,1505"
EDF,Vert Électrique Régional,12,"564,94","0,1896","0,2095","0,1505"
EDF,Vert Électrique Régional,15,"654,65","0,1896","0,2095","0,1505"
EDF,Vert Électrique Régional,18,"745,2","0,1896","0,2095","0,1505"
EDF,Vert Électrique Régional,24,"939,12","0,1896","0,2095","0,1505"
EDF,Vert Électrique Régional,30,"1121,52","0,1896","0,2095","0,1505"
EDF,Vert Électrique Régional,36,"1306,83","0,1896","0,2095","0,1505"
EDF,Vert Électrique Week-End,6,"374,47","0,2042","0,2148","0,1611"
EDF,Vert Électrique Week-End,9,"470,5","0,2042","0,2148","0,1611"
EDF,Vert Électrique Week-End,12,"564,94","0,2042","0,2148","0,1611"
EDF,Vert Électrique Week-End,15,"654,65","0,2042","0,2148","0,1611"
EDF,Vert Électrique Week-End,18,"745,2","0,2042","0,2148","0,1611"
EDF,Vert Électrique Week-End,24,"939,12","0,2042","0,2148","0,1611"
EDF,Vert Électrique Week-End,30,"1121,52","0,2042","0,2148","0,1611"
EDF,Vert Électrique Week-End,36,"1306,83","0,2042","0,2148","0,1611"
EDF,Zen Fixe,3,"140,74","0,1926",indisponible,indisponible
EDF,Zen Fixe,6,"374,9","0,1926","0,2052","0,1614"
EDF,Zen Fixe,9,"471,22","0,1926","0,2052","0,1614"
EDF,Zen Fixe,12,"565,95","0,1926","0,2052","0,1614"
EDF,Zen Fixe,15,"655,95","0,1926","0,2052","0,1614"
EDF,Zen Fixe,18,"746,5","0,1926","0,2052","0,1614"
EDF,Zen Fixe,24,"941,14","0,1926","0,2052","0,1614"
EDF,Zen Fixe,30,"1123,82","0,1926","0,2052","0,1614"
EDF,Zen Fixe,36,"1309,42","0,1926","0,2052","0,1614"
EDF,Zen Online,3,"140,74","0,1856",indisponible,indisponible
EDF,Zen Online,6,"374,47","0,1856","0,1977","0,1559"
EDF,Zen Online,9,"470,5","0,1856","0,1977","0,1559"
EDF,Zen Online,12,"564,94","0,1856","0,1977","0,1559"
EDF,Zen Online,15,"654,65","0,1856","0,1977","0,1559"
EDF,Zen Online,18,"745,2","0,1856","0,1977","0,1559"
EDF,Zen Online,24,"939,12","0,1856","0,1977","0,1559"
EDF,Zen Online,30,"1121,52","0,1856","0,1977","0,1559"
EDF,Zen Online,36,"1306,83","0,1856","0,1977","0,1559"
EDF,Zen Week-End,3,"140,74","0,2028",indisponible,indisponible
EDF,Zen Week-End,6,"374,47","0,2028","0,2143","0,1608"
EDF,Zen Week-End,9,"470,5","0,2028","0,2143","0,1608"
EDF,Zen Week-End,12,"564,94","0,2028","0,2143","0,1608"
EDF,Zen Week-End,15,"654,65","0,2028","0,2143","0,1608"
EDF,Zen Week-End,18,"745,2","0,2028","0,2143","0,1608"
EDF,Zen Week-End,24,"939,12","0,2028","0,2143","0,1608"
EDF,Zen Week-End,30,"1121,52","0,2028","0,2143","0,1608"
EDF,Zen Week-End,36,"1306,83","0,2028","0,2143","0,1608"
EDF,Zen Week-End option Flex,6,"188,89",indisponible,"0,2081","0,1508"
EDF,Zen Week-End option Flex,9,"237,77",indisponible,"0,2081","0,1508"
EDF,Zen Week-End option Flex,12,"285,06",indisponible,"0,2081","0,1508"
EDF,Zen Week-End option Flex,15,"329,92",indisponible,"0,2081","0,1508"
EDF,Zen Week-End option Flex,18,"376,06",indisponible,"0,2081","0,1508"
EDF,Zen Week-End option Flex,24,"473,66",indisponible,"0,2081","0,1508"
EDF,Zen Week-End option Flex,30,"564,22",indisponible,"0,2081","0,1508"
EDF,Zen Week-End option Flex,36,"655,36",indisponible,"0,2081","0,1508"
EDF,Zen Week-End Plus,6,"374,47","0,2123","0,2203","0,165"
EDF,Zen Week-End Plus,9,"470,5","0,2123","0,2203","0,165"
EDF,Zen Week-End Plus,12,"564,94","0,2123","0,2203","0,165"
EDF,Zen Week-End Plus,15,"654,65","0,2123","0,2203","0,165"
EDF,Zen Week-End Plus,18,"745,2","0,2123","0,2203","0,165"
EDF,Zen Week-End Plus,24,"939,12","0,2123","0,2203","0,165"
EDF,Zen Week-End Plus,30,"1121,52","0,2123","0,2203","0,165"
EDF,Zen Week-End Plus,36,"1306,83","0,2123","0,2203","0,165"
Plenitude,Plenifix 1 an Electricité,3,"169,54","0,2031",indisponible,indisponible
Plenitude,Plenifix 1 an Electricité,6,"435,25","0,2031","0,2167","0,1699"
Plenitude,Plenifix 1 an Electricité,9,"532,86","0,2031","0,2167","0,1699"
Plenitude,Plenifix 1 an Electricité,12,"628,89","0,2031","0,2167","0,1699"
Plenitude,Plenifix 1 an Electricité,15,"720,18","0,2031","0,2167","0,1699"
Plenitude,Plenifix 1 an Electricité,18,"812,31","0,2031","0,2167","0,1699"
Plenitude,Plenifix 1 an Electricité,24,"1009,42","0,2031","0,2167","0,1699"
Plenitude,Plenifix 1 an Electricité,30,"1194,99","0,2031","0,2167","0,1699"
Plenitude,Plenifix 1 an Electricité,36,"1383,46","0,2031","0,2167","0,1699"
Plenitude,Plenifix 2 ans Electricité,3,"169,54","0,2207",indisponible,indisponible
Plenitude,Plenifix 2 ans Electricité,6,"435,25","0,2207","0,2356","0,1839"
Plenitude,Plenifix 2 ans Electricité,9,"532,86","0,2207","0,2356","0,1839"
Plenitude,Plenifix 2 ans Electricité,12,"628,89","0,2207","0,2356","0,1839"
Plenitude,Plenifix 2 ans Electricité,15,"720,18","0,2207","0,2356","0,1839"
Plenitude,Plenifix 2 ans Electricité,18,"812,31","0,2207","0,2356","0,1839"
Plenitude,Plenifix 2 ans Electricité,24,"1009,42","0,2207","0,2356","0,1839"
Plenitude,Plenifix 2 ans Electricité,30,"1194,99","0,2207","0,2356","0,1839"
Plenitude,Plenifix 2 ans Electricité,36,"1383,46","0,2207","0,2356","0,1839"
